Gemeentenaam,Infected
Aa en Hunze,0
Aalburg,108
Aalsmeer,0
Aalten,0
Achtkarspelen,0
Alblasserdam,54
Albrandswaard,0
Alkmaar,54
Almelo,0
Almere,54
Alphen aan den Rijn,54
Alphen-Chaam,54
Ameland,0
Amersfoort,270
Amstelveen,0
Amsterdam,648
Apeldoorn,54
Appingedam,0
Arnhem,0
Assen,0
Asten,54
Baarle-Nassau,0
Baarn,0
Barendrecht,0
Barneveld,0
Bedum,0
Beek,54
Beemster,0
Beesel,0
Berg en Dal,0
Bergeijk,0
Bergen (L.),0
Bergen (NH.),0
Bergen op Zoom,54
Berkelland,0
Bernheze,216
Best,108
Beuningen,0
Beverwijk,108
De Bilt,54
Binnenmaas,32
Bladel,0
Blaricum,0
Bloemendaal,54
Bodegraven-Reeuwijk,0
Boekel,270
Ten Boer,0
Borger-Odoorn,0
Borne,54
Borsele,0
Boxmeer,0
Boxtel,108
Breda,1782
Brielle,0
Bronckhorst,0
Brummen,0
Brunssum,162
Bunnik,0
Bunschoten,0
Buren,54
Capelle aan den IJssel,54
Castricum,0
Coevorden,0
Cranendonck,0
Cromstrijen,32
Cuijk,0
Culemborg,54
Dalfsen,0
Dantumadiel,0
Delft,54
Delfzijl,0
Deurne,54
Deventer,0
Diemen,54
Dinkelland,162
Doesburg,0
Doetinchem,0
Dongen,0
Dongeradeel,0
Dordrecht,216
Drechterland,0
Drimmelen,216
Dronten,0
Druten,162
Duiven,0
Echt-Susteren,216
Edam-Volendam,108
Ede,54
Eemnes,0
Eemsmond,0
Eersel,108
Eijsden-Margraten,0
Eindhoven,162
Elburg,0
Emmen,0
Enkhuizen,0
Enschede,0
Epe,0
Ermelo,216
Etten-Leur,216
Ferwerderadiel,0
De Fryske Marren,0
Geertruidenberg,54
Geldermalsen,0
Geldrop-Mierlo,108
Gemert-Bakel,702
Gennep,54
Giessenlanden,27
Gilze en Rijen,0
Goeree-Overflakkee,0
Goes,0
Goirle,216
Gooise Meren,54
Gorinchem,0
Gouda,54
Grave,0
's-Gravenhage,216
Groningen,0
Grootegast,14
Gulpen-Wittem,54
Haaksbergen,0
Haaren,81
Haarlem,0
Haarlemmerliede en Spaarnwoude,54
Haarlemmermeer,108
Halderberge,54
Hardenberg,0
Harderwijk,162
Hardinxveld-Giessendam,0
Haren,0
Harlingen,0
Hattem,0
Heemskerk,0
Heemstede,0
Heerde,54
Heerenveen,0
Heerhugowaard,0
Heerlen,540
Heeze-Leende,54
Heiloo,0
Den Helder,0
Hellendoorn,0
Hellevoetsluis,0
Helmond,324
Hendrik-Ido-Ambacht,0
Hengelo,54
's-Hertogenbosch,486
Heumen,0
Heusden,0
Hillegom,0
Hilvarenbeek,0
Hilversum,54
Hof van Twente,0
Hollands Kroon,0
Hoogeveen,0
Hoorn,54
Horst aan de Maas,0
Houten,0
Huizen,0
Hulst,0
IJsselstein,54
Kaag en Braassem,0
Kampen,0
Kapelle,54
Katwijk,0
Kerkrade,162
Koggenland,0
Kollumerland en Nieuwkruisland,0
Korendijk,32
Krimpen aan den IJssel,0
Krimpenerwaard,108
Laarbeek,54
Landerd,0
Landgraaf,216
Landsmeer,0
Langedijk,0
Lansingerland,108
Laren,0
Leek,14
Leerdam,0
Leeuwarden,0
Leiden,54
Leiderdorp,0
Leidschendam-Voorburg,0
Lelystad,54
Leudal,216
Leusden,0
Lingewaal,0
Lingewaard,54
Lisse,0
Lochem,0
Loon op Zand,54
Lopik,0
Loppersum,0
Losser,0
Maasdriel,0
Maasgouw,162
Maassluis,0
Maastricht,108
De Marne,0
Marum,14
Medemblik,0
Meerssen,0
Meierijstad,1296
Meppel,0
Middelburg,162
Midden-Delfland,0
Midden-Drenthe,0
Midden-Groningen,0
Mill en Sint Hubert,0
Moerdijk,0
Molenwaard,27
Montferland,0
Montfoort,0
Mook en Middelaar,0
Neder-Betuwe,108
Nederweert,0
Neerijnen,0
Nieuwegein,54
Nieuwkoop,0
Nijkerk,54
Nijmegen,432
Nissewaard,162
Noord-Beveland,0
Noordenveld,0
Noordoostpolder,0
Noordwijk,54
Noordwijkerhout,27
"Nuenen, Gerwen en Nederwetten",0
Nunspeet,108
Nuth,144
Oegstgeest,54
Oirschot,54
Oisterwijk,162
Oldambt,0
Oldebroek,0
Oldenzaal,0
Olst-Wijhe,0
Ommen,0
Onderbanken,144
Oost Gelre,0
Oosterhout,54
Ooststellingwerf,0
Oostzaan,0
Opmeer,0
Opsterland,0
Oss,216
Oud-Beijerland,32
Oude IJsselstreek,108
Ouder-Amstel,0
Oudewater,54
Overbetuwe,270
Papendrecht,0
Peel en Maas,162
Pekela,0
Pijnacker-Nootdorp,0
Purmerend,108
Putten,0
Raalte,0
Reimerswaal,162
Renkum,0
Renswoude,0
Reusel-De Mierden,108
Rheden,0
Rhenen,0
Ridderkerk,0
Rijssen-Holten,0
Rijswijk,54
Roerdalen,0
Roermond,54
De Ronde Venen,0
Roosendaal,0
Rotterdam,216
Rozendaal,0
Rucphen,0
Schagen,108
Scherpenzeel,0
Schiedam,108
Schiermonnikoog,0
Schinnen,144
Schouwen-Duiveland,0
Simpelveld,0
Sint Anthonis,0
Sint-Michielsgestel,54
Sittard-Geleen,756
Sliedrecht,0
Sluis,54
Smallingerland,0
Soest,0
Someren,0
Son en Breugel,54
Stadskanaal,0
Staphorst,0
Stede Broec,0
Steenbergen,108
Steenwijkerland,0
Stein,0
Stichtse Vecht,108
Strijen,32
Súdwest-Fryslân,0
Terneuzen,108
Terschelling,0
Texel,0
Teylingen,0
Tholen,0
Tiel,162
Tilburg,1350
Tubbergen,0
Twenterand,0
Tynaarlo,0
Tytsjerksteradiel,0
Uden,0
Uitgeest,0
Uithoorn,0
Urk,0
Utrecht,162
Utrechtse Heuvelrug,0
Vaals,54
Valkenburg aan de Geul,54
Valkenswaard,108
Veendam,0
Veenendaal,108
Veere,0
Veldhoven,54
Velsen,0
Venlo,216
Venray,54
Vianen,0
Vlaardingen,54
Vlieland,0
Vlissingen,54
Voerendaal,162
Voorschoten,0
Voorst,108
Vught,54
Waadhoeke,0
Waalre,0
Waalwijk,108
Waddinxveen,0
Wageningen,54
Wassenaar,0
Waterland,54
Weert,54
Weesp,0
Werkendam,108
West Maas en Waal,0
Westerveld,54
Westervoort,0
Westerwolde,0
Westland,54
Weststellingwerf,0
Westvoorne,0
Wierden,0
Wijchen,162
Wijdemeren,0
Wijk bij Duurstede,54
Winsum,0
Winterswijk,0
Woensdrecht,0
Woerden,0
De Wolden,0
Wormerland,0
Woudenberg,0
Woudrichem,108
Zaanstad,162
Zaltbommel,108
Zandvoort,54
Zederik,0
Zeewolde,0
Zeist,54
Zevenaar,0
Zoetermeer,0
Zoeterwoude,0
Zuidhorn,14
Zuidplas,0
Zundert,54
Zutphen,0
Zwartewaterland,0
Zwijndrecht,108
Zwolle,0
